GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
beer-service,guru.springframework.beerservice.bootstrap,BeerLoader,95,0,2,0,34,0,5,0,4,0
beer-service,guru.springframework.beerservice.services.inventory.model,BeerInventoryDto.BeerInventoryDtoBuilder,54,0,0,0,1,0,8,0,8,0
beer-service,guru.springframework.beerservice.services.inventory.model,BeerInventoryDto,257,0,46,0,9,0,40,0,17,0
beer-service,guru.springframework.beerservice.config,CacheConfig,0,3,0,0,0,1,0,1,0,1
beer-service,guru.springframework.beerservice.web.mappers,BeerMapperDecorator,38,0,0,0,11,0,6,0,6,0
beer-service,guru.springframework.beerservice.web.mappers,BeerMapperImpl,196,3,18,0,42,1,12,1,3,1
beer-service,guru.springframework.beerservice.web.mappers,DateMapper,38,3,4,0,9,1,4,1,2,1
beer-service,guru.springframework.beerservice.services,BeerServiceImpl,183,9,16,0,38,1,13,1,5,1
beer-service,guru.springframework.beerservice.domain,Beer.BeerBuilder,99,0,0,0,1,0,13,0,13,0
beer-service,guru.springframework.beerservice.domain,Beer,107,3,0,0,13,1,22,1,22,1
beer-service,guru.springframework.beerservice.web.model,BeerDto.BeerDtoBuilder,20,70,0,0,0,1,1,11,1,11
beer-service,guru.springframework.beerservice.web.model,BeerDto,329,100,78,0,0,13,43,21,4,21
beer-service,guru.springframework.beerservice.web.model,BeerStyleEnum,0,74,0,0,0,2,0,1,0,1
beer-service,guru.springframework.beerservice.web.model,BeerPagedList,19,0,0,0,6,0,3,0,3,0
beer-service,guru.springframework.beerservice,BeerServiceApplication,5,3,0,0,2,1,1,1,1,1
beer-service,guru.springframework.beerservice.services.inventory,BeerInventoryServiceRestTemplateImpl.new ParameterizedTypeReference() {...},6,0,0,0,1,0,1,0,1,0
beer-service,guru.springframework.beerservice.services.inventory,BeerInventoryServiceRestTemplateImpl,35,15,0,0,8,6,1,3,1,3
beer-service,guru.springframework.beerservice.web.controller,MvcExceptionHandler,24,3,0,0,3,1,2,1,2,1
beer-service,guru.springframework.beerservice.web.controller,NotFoundException,3,0,0,0,1,0,1,0,1,0
beer-service,guru.springframework.beerservice.web.controller,BeerController,47,47,11,1,9,8,8,5,2,5
